id,name,type,source,license,commercial
e-17412,1-2 hook + straight combo,exercise,centr,Centr (scraped — personal use),NO
e-17413,1-2 hook combo,exercise,centr,Centr (scraped — personal use),NO
e-30794,100s,exercise,centr,Centr (scraped — personal use),NO
e-10419,180 squat jumps,exercise,centr,Centr (scraped — personal use),NO
e-5645,2 orthodox punching combinations,exercise,centr,Centr (scraped — personal use),NO
e-11905,2-hand frog squat jumps,exercise,centr,Centr (scraped — personal use),NO
e-5734,2-hand overhead dumbbell extension,exercise,centr,Centr (scraped — personal use),NO
e-17024,3-level sit-up,exercise,centr,Centr (scraped — personal use),NO
e-25280,3-squat combo,exercise,centr,Centr (scraped — personal use),NO
e-5176,3-step drop,exercise,centr,Centr (scraped — personal use),NO
e-29381,3-step drop,exercise,centr,Centr (scraped — personal use),NO
e-17025,3-step push-up,exercise,centr,Centr (scraped — personal use),NO
fedb-3_4_Sit-Up,3/4 Sit-Up,exercise,free-exercise-db,Public Domain (Unlicense),YES
e-17843,4-point scapular retraction,exercise,centr,Centr (scraped — personal use),NO
e-17844,4-point shoulder rotations,exercise,centr,Centr (scraped — personal use),NO
e-17845,4-point thoracic rotation,exercise,centr,Centr (scraped — personal use),NO
e-5805,4-step sequence,exercise,centr,Centr (scraped — personal use),NO
e-5787,5-step sequence,exercise,centr,Centr (scraped — personal use),NO
e-30895,90-90,exercise,centr,Centr (scraped — personal use),NO
e-30588,90-90 + reach-through,exercise,centr,Centr (scraped — personal use),NO
e-30153,90-90 glute stretch (left),exercise,centr,Centr (scraped — personal use),NO
e-30359,90-90 glute stretch (left),exercise,centr,Centr (scraped — personal use),NO
e-30154,90-90 glute stretch (right),exercise,centr,Centr (scraped — personal use),NO
e-30360,90-90 glute stretch (right),exercise,centr,Centr (scraped — personal use),NO
e-30155,90-90 hip rotations,exercise,centr,Centr (scraped — personal use),NO
e-30084,90-90 hip rotations,exercise,centr,Centr (scraped — personal use),NO
e-30361,90-90 hip thrust,exercise,centr,Centr (scraped — personal use),NO
